,IC,RankIC,RR
20241101,,,
20241104,,,
20241105,,,
20241106,,,
20241107,,,
20241108,,,
20241111,,,
20241112,,,
20241113,,,
20241114,,,
20241115,,,
20241118,,,
20241119,,,
20241120,,,
20241121,,,
20241122,,,
20241125,,,
20241126,,,
20241127,,,
20241128,,,
20241129,,,
20241202,,,
20241203,,,
20241204,,,
20241205,,,
20241206,,,
20241209,,,
20241210,,,
20241211,,,
20241212,,,
20241213,,,
20241216,,,
20241217,,,
20241218,,,
20241219,,,
20241220,,,
20241223,,,
20241224,,,
20241225,,,
20241226,,,
20241227,,,
20241230,,,
20241231,,,
20250102,,,
20250103,,,
20250106,,,
20250107,,,
20250108,,,
20250109,,,
20250110,,,
20250113,,,
20250114,,,
20250115,,,
20250116,,,
20250117,,,
20250120,,,
20250121,,,
20250122,,,
20250123,,,
20250124,,,
20250127,,,
20250205,,,
20250206,,,
20250207,,,
20250210,,,
20250211,,,
20250212,,,
20250213,,,
20250214,,,
20250217,,,
20250218,,,
20250219,,,
20250220,,,
20250221,,,
20250224,,,
20250225,,,
20250226,,,
20250227,,,
20250228,,,
20250303,,,
20250304,,,
20250305,,,
20250306,,,
20250307,,,
20250310,,,
20250311,,,
20250312,,,
20250313,,,
20250314,,,
20250317,,,
20250318,,,
20250319,,,
20250320,,,
20250321,,,
20250324,0.1621547626719386,0.223400506628261,0.10390297202498887
20250325,,,
20250326,,,
20250327,,,
20250328,,,
20250331,-0.06762716725959125,-0.011385556211396475,-0.024460018619175093
20250401,,,
20250402,,,
20250403,,,
20250407,-0.10202974673191217,-0.06636849315593343,-0.018327554963154788
20250408,,,
20250409,,,
20250410,,,
20250411,,,
20250414,0.09414574172655349,0.1524589803960955,0.04887626961306115
20250415,,,
20250416,,,
20250417,,,
20250418,,,
20250421,0.09499167831352011,0.16636564929333159,0.05939579781107836
20250422,,,
20250423,,,
20250424,,,
20250425,,,
20250428,-0.024376018638065093,0.01655905437474536,0.014184520620779465
20250429,,,
20250430,,,
20250506,0.04358480614128581,0.08415398154751792,0.012738757688311298
20250507,,,
20250508,,,
20250509,,,
20250512,-0.058305467981585125,0.10988009339145134,-0.06138337165199735
20250513,,,
20250514,,,
20250515,,,
20250516,,,
20250519,0.03829831481714142,0.16965766117750866,0.03059821129456292
20250520,,,
20250521,,,
20250522,,,
20250523,,,
