,IC,RankIC,RR
20241101,,,
20241104,,,
20241105,,,
20241106,,,
20241107,,,
20241108,,,
20241111,,,
20241112,,,
20241113,,,
20241114,,,
20241115,,,
20241118,-0.011542366954447212,-0.08724801955922024,0.03340356851509245
20241119,,,
20241120,,,
20241121,,,
20241122,,,
20241125,-0.009266059967847117,0.041554757940290635,-0.040359978751671285
20241126,,,
20241127,,,
20241128,,,
20241129,,,
20241202,0.044093753658645374,-0.0014281710635132825,0.012914301642314073
20241203,,,
20241204,,,
20241205,,,
20241206,,,
20241209,0.057827440803697866,-0.039762059345284886,-0.019557753312996515
20241210,,,
20241211,,,
20241212,,,
20241213,,,
20241216,-0.22781966139666418,-0.2478253803311962,-0.10264462354710185
20241217,,,
20241218,,,
20241219,,,
20241220,,,
20241223,-0.12551615005101444,-0.21032254779736986,-0.06291478477924521
20241224,,,
20241225,,,
20241226,,,
20241227,,,
20241230,-0.1382644601385783,-0.34834451457342164,-0.0008647152824926979
20241231,,,
20250102,,,
20250103,,,
20250106,-0.032597501302453986,-0.0038733441200140277,-0.004017547140674104
20250107,,,
20250108,,,
20250109,,,
20250110,,,
20250113,0.11384958438564764,0.0812594912352698,0.04633553646262808
20250114,,,
20250115,,,
20250116,,,
20250117,,,
20250120,-0.24692783280588715,-0.2931219082381536,-0.059655906643408585
20250121,,,
20250122,,,
20250123,,,
20250124,,,
20250127,0.20040236086646637,0.3081190447990877,0.04157440554704769
20250205,0.21883327992117296,0.3117811639762219,0.06616639069345556
20250206,,,
20250207,,,
20250210,0.09816147842556402,0.10264771671680739,0.018358873854953436
20250211,,,
20250212,,,
20250213,,,
20250214,,,
20250217,0.07070189489434925,0.007731252458830267,0.019845487582853948
20250218,,,
20250219,,,
20250220,,,
20250221,,,
20250224,-0.19721004101335743,-0.2863113052008481,-0.06644685972678714
20250225,,,
20250226,,,
20250227,,,
20250228,,,
20250303,0.17057145538714488,0.10837015181378831,0.038112428168916246
20250304,,,
20250305,,,
20250306,,,
20250307,,,
20250310,-0.12558444944396688,-0.2023306667319112,-0.02760005942251149
20250311,,,
20250312,,,
20250313,,,
20250314,,,
20250317,-0.16836357339764657,-0.2382000239871638,-0.0630815226487275
20250318,,,
20250319,,,
20250320,,,
20250321,,,
20250324,-0.2396715663809309,-0.31747733791710564,-0.04862951191236467
20250325,,,
20250326,,,
