stock_code,fail_time,fail_type
601003.SH,2026-04-24 09:02:21,下载失败
601003.SH,2026-04-24 11:11:23,开盘价小于2元
601003.SH,2026-04-24 11:12:30,开盘价小于2元
601003.SH,2026-04-24 11:14:30,开盘价小于2元
601003.SH,2026-04-24 11:17:04,开盘价小于2元
601003.SH,2026-04-24 11:22:04,开盘价小于2元
601003.SH,2026-04-24 11:24:26,开盘价小于2元
601003.SH,2026-04-24 13:52:25,开盘价小于2元
601003.SH,2026-04-24 14:20:14,开盘价小于2元
601003.SH,2026-04-24 14:20:39,开盘价小于2元
601003.SH,2026-04-24 14:24:09,开盘价小于2元
601003.SH,2026-04-24 14:24:33,开盘价小于2元
601003.SH,2026-04-24 14:39:39,开盘价小于2元
601003.SH,2026-04-24 14:41:52,开盘价小于2元
601003.SH,2026-04-24 14:47:59,开盘价小于2元
601003.SH,2026-04-24 14:52:48,开盘价小于2元
601003.SH,2026-04-24 14:53:12,开盘价小于2元
601003.SH,2026-04-24 14:58:39,开盘价小于2元
601003.SH,2026-04-24 15:00:35,开盘价小于2元
601003.SH,2026-04-24 15:03:31,开盘价小于2元
601003.SH,2026-04-24 15:10:18,开盘价小于2元
601003.SH,2026-04-24 15:30:05,开盘价小于2元
601003.SH,2026-04-24 15:48:56,开盘价小于2元
